# avg_r,avg_g
34.61,101.56
39.87,99.57
33.40,102.54
35.79,99.85
29.72,97.81
33.95,96.90
36.46,96.72
39.80,99.26
36.52,99.90
33.68,102.61
33.64,102.48
35.27,98.91
31.94,96.40
35.13,99.97
34.68,100.13
32.85,100.22
36.66,101.83
31.55,96.04
30.78,93.19
37.72,96.89
36.65,97.29
36.52,103.69
36.59,97.25
39.20,96.72
36.93,99.40
36.91,99.39
35.91,102.14
34.48,96.01
36.64,101.67
35.19,100.09
36.07,94.90
32.30,101.49
35.29,98.63
35.95,101.36
31.20,103.24
40.35,100.51
35.79,100.95
35.29,102.57
36.81,97.20
36.61,95.55
36.99,105.33
33.63,101.38
39.17,102.37
32.97,100.31
33.24,95.43
36.93,97.05
30.78,97.74
30.22,101.94
37.52,95.25
27.85,102.65
38.11,100.79
35.85,100.04
41.73,100.95
31.16,102.66
38.21,95.64
34.66,103.72
35.72,100.38
32.98,104.39
37.71,97.00
29.50,101.30
34.85,99.22
36.18,101.30
29.14,100.53
33.28,100.15
34.48,101.23
35.31,95.94
34.87,101.07
32.25,98.94
32.56,101.67
35.74,97.95
36.40,100.48
37.67,106.98
35.32,100.97
33.60,101.61
36.67,96.80
29.56,104.61
35.03,100.35
32.08,103.56
34.91,104.95
35.96,102.30
35.62,102.89
33.35,101.11
33.34,98.88
37.96,98.80
30.91,99.35
33.55,101.09
38.16,99.25
33.52,96.90
36.23,103.00
34.10,99.31
29.68,99.49
39.81,96.14
34.72,100.22
32.47,104.71
33.54,100.15
41.36,99.50
38.26,104.77
36.10,103.66
36.72,96.27
37.32,98.30
32.99,95.60
32.39,96.56
33.11,100.39
32.95,99.16
33.31,101.72
34.72,94.04
30.89,98.95
30.77,97.67
37.29,97.48
31.78,99.40
34.40,95.26
33.73,102.07
36.94,99.56
36.40,97.73
38.52,95.91
37.26,91.55
32.27,99.10
36.57,94.61
35.87,104.22
29.30,102.00
37.70,91.50
38.96,103.86
31.94,97.93
32.44,96.59
37.92,98.68
33.93,99.39
38.52,97.07
32.06,99.24
36.83,102.51
36.30,99.61
37.40,101.29
32.93,99.59
38.20,101.31
31.65,101.51
30.94,99.04
33.98,98.68
35.46,101.68
40.09,98.41
31.64,96.86
29.62,100.09
31.44,103.38
34.92,101.93
39.10,99.57
30.62,97.31
37.93,97.70
41.97,99.75
34.38,100.16
35.66,98.03
32.95,94.86
32.76,99.48
32.61,99.51
31.81,97.57
32.27,99.39
36.17,105.60
33.31,103.12
37.00,95.40
35.49,95.37
36.41,99.48
35.92,102.01
30.36,106.16
32.26,97.82
35.65,98.69
35.03,102.06
34.43,100.12
33.38,98.42
31.44,93.68
36.71,97.59
29.48,97.06
37.90,102.66
32.13,99.74
33.24,95.70
35.04,100.52
29.82,103.65
38.18,99.77
36.38,103.66
36.77,100.25
31.56,101.60
35.19,98.97
35.51,106.90
36.56,98.93
35.65,93.50
25.61,99.24
35.25,101.25
37.65,98.51
35.40,97.16
36.25,103.72
35.68,101.44
38.04,101.98
31.45,102.35
36.83,98.96
29.34,97.03
33.91,99.04
31.11,102.92
30.58,97.39
35.04,99.57
29.69,99.49
33.49,96.23
40.16,101.29
33.89,99.85
34.46,101.24
35.01,100.30
35.73,96.11
36.95,95.16
31.71,97.29
37.43,103.05
39.17,106.89
32.15,96.80
36.26,99.51
41.91,108.04
32.68,102.94
38.35,96.08
36.53,100.19
39.26,102.88
35.25,100.03
34.61,99.91
33.80,95.10
38.80,101.66
31.21,99.15
33.39,103.54
37.80,101.49
33.90,98.19
31.54,102.33
33.36,102.83
28.81,102.01
39.79,100.49
29.49,97.80
33.40,105.74
32.36,101.33
34.02,97.86
41.62,104.81
36.36,91.63
36.46,94.49
37.09,97.44
37.93,98.59
36.62,99.07
34.18,105.52
35.62,98.64
38.62,100.56
33.86,98.57
38.99,100.84
39.51,99.68
37.24,100.30
40.13,101.48
35.10,95.76
38.20,100.91
35.41,100.89
35.51,96.73
36.22,102.11
38.91,102.05
34.05,105.53
40.86,98.06
36.61,98.43
31.76,99.79
41.26,101.86
34.44,96.95
36.13,100.76
37.14,100.32
35.10,103.41
33.09,99.69
38.46,97.89
33.93,99.72
35.54,101.52
32.94,101.23
35.63,94.92
36.61,102.94
37.29,99.19
35.02,100.72
36.42,103.70
34.75,102.45
35.75,97.16
34.80,107.03
35.14,105.37
36.46,99.01
37.96,92.10
37.00,99.02
30.29,105.15
37.83,95.98
34.75,102.14
36.87,99.59
32.10,99.18
35.18,99.93
33.75,98.48
32.85,99.65
34.54,102.79
39.45,98.33
34.70,97.66
38.98,100.58
37.63,102.08
36.94,102.17
33.88,104.57
43.09,99.74
38.90,95.57
36.59,101.33
35.51,105.59
33.91,95.49
35.37,102.64
33.29,102.19
35.50,94.57
37.15,102.16
34.98,103.39
38.47,101.16
32.80,111.05
34.43,103.82
35.55,97.24
31.41,101.84
32.96,103.33
36.94,102.57
33.48,95.58
30.95,103.35
37.53,101.01
30.15,98.87
33.52,101.33
32.66,102.87
31.73,100.38
32.50,99.66
34.19,103.74
36.99,101.47
31.91,102.61
34.26,97.23
31.63,101.37
39.20,98.60
34.30,105.69
34.26,101.48
34.07,99.46
36.45,101.44
33.08,102.46
37.04,100.72
34.73,98.74
35.41,98.96
36.28,102.14
38.87,97.14
31.90,104.14
37.06,98.73
37.29,101.85
30.01,104.09
32.52,102.47
32.05,101.77
34.06,99.57
33.79,104.80
33.21,101.83
36.21,102.08
35.25,99.56
32.65,99.25
37.66,96.33
39.52,101.94
34.79,96.63
36.25,102.81
36.55,101.68
35.78,100.50
35.24,101.55
33.51,96.03
35.97,95.20
36.50,96.03
34.23,97.22
31.82,99.15
32.57,98.46
31.46,98.73
32.17,96.19
28.62,102.25
38.41,102.32
35.74,102.07
33.58,100.62
35.53,98.70
28.94,95.26
34.67,100.25
31.04,101.54
30.01,96.63
37.15,99.35
37.86,99.39
35.73,95.68
35.14,98.23
35.96,100.87
34.06,105.16
31.79,99.39
36.77,98.79
36.32,100.99
38.49,95.71
35.00,96.03
32.17,100.43
40.86,99.20
35.54,99.33
29.78,100.48
35.68,96.21
34.74,101.08
36.32,106.85
34.52,104.32
29.87,101.40
41.10,97.50
34.04,98.22
33.82,100.71
37.08,100.11
31.62,104.41
36.96,97.99
38.60,97.29
32.49,98.81
38.56,96.78
36.03,103.89
36.47,97.15
35.98,101.82
36.44,103.75
37.49,97.17
36.83,100.59
31.05,98.64
33.73,95.62
33.86,99.71
33.15,91.44
37.18,96.90
36.48,100.44
36.16,100.66
33.58,101.49
35.46,96.93
33.13,99.78
34.84,97.40
38.40,97.13
35.16,96.36
36.05,100.92
32.84,98.90
33.82,101.01
32.81,101.18
35.86,95.73
36.11,99.62
30.71,100.56
33.88,100.24
32.76,99.06
41.79,101.20
37.83,100.42
36.12,101.48
34.88,102.11
35.74,94.29
31.35,102.61
42.21,99.74
36.13,101.73
36.05,101.06
33.14,101.65
33.61,103.63
38.35,102.38
30.87,100.05
33.79,103.56
39.23,99.00
33.01,98.84
31.17,101.95
31.96,98.75
37.38,100.28
33.30,102.36
31.95,103.12
34.33,99.86
35.23,103.48
32.73,98.40
32.32,99.32
35.27,104.37
38.96,102.09
29.47,99.53
34.20,93.30
33.90,108.45
38.25,101.30
32.99,99.18
33.17,98.19
38.09,93.65
36.48,98.21
34.96,101.03
36.99,96.79
35.13,101.55
36.81,100.36
37.51,99.32
35.77,99.22
38.80,100.56
30.52,101.14
32.29,97.82
35.80,103.10
31.97,98.13
34.52,102.27
33.39,98.61
33.86,100.49
31.80,97.04
31.90,98.18
36.70,100.09
30.27,98.39
32.99,100.60
32.31,101.30
39.71,104.46
44.58,102.24
33.64,100.49
34.20,102.98
39.81,102.81
34.63,97.56
39.45,98.63
37.51,101.31
36.16,94.88
26.93,96.89
35.49,104.75
33.69,104.02
29.12,101.74
35.01,98.81
35.63,102.26
37.19,99.85
33.80,98.85
31.36,103.43
38.18,102.88
34.71,106.70
33.90,104.16
33.09,98.67
38.63,96.77
35.41,99.11
34.92,103.96
33.74,95.28
30.78,99.97
33.14,103.30
32.76,99.42
35.17,104.46
33.17,102.16
35.97,103.29
33.44,102.25
39.09,98.86
38.54,95.49
36.77,95.26
30.87,99.68
34.03,99.54
33.05,100.43
36.15,95.92
29.97,99.04
36.73,100.06
33.30,104.16
35.23,100.15
38.74,100.06
36.79,98.67
31.20,101.64
34.64,103.70
31.07,102.96
33.31,103.06
32.69,103.99
30.62,97.72
36.60,96.09
39.06,105.06
34.45,100.86
28.42,100.28
33.19,96.78
36.22,97.73
39.81,99.53
35.03,101.01
37.27,98.37
34.46,98.71
31.07,95.17
32.73,97.24
38.72,97.84
36.19,97.70
36.64,97.93
29.66,91.56
33.87,101.48
35.37,96.75
33.56,102.06
40.17,97.30
36.24,98.88
37.21,96.16
33.37,99.63
36.76,103.43
33.86,101.04
35.30,101.12
33.96,92.58
34.70,97.10
31.94,100.16
40.62,100.64
39.30,104.00
38.41,99.14
31.56,101.20
30.72,101.60
29.69,98.07
30.36,101.00
35.97,103.75
30.29,96.00
32.24,101.95
37.44,98.89
36.34,96.96
35.51,100.91
33.44,103.41
35.07,94.19
37.62,101.02
35.06,98.14
30.89,96.79
32.95,108.55
38.87,104.94
33.05,97.48
35.79,97.82
39.79,101.57
35.48,92.82
35.22,106.09
37.41,101.32
34.74,99.35
38.14,100.51
36.21,97.45
35.79,100.48
34.56,103.11
32.70,98.43
34.88,102.90
32.95,97.60
30.83,101.83
35.70,98.69
32.94,100.40
35.09,99.90
34.41,96.86
40.52,96.82
39.15,102.46
30.38,102.57
35.22,100.65
30.39,106.73
35.21,98.02
36.04,101.89
36.02,101.77
38.63,96.22
34.85,100.67
36.03,97.55
29.05,108.01
38.60,100.24
33.50,98.18
32.41,102.60
32.29,95.37
39.46,97.96
35.72,103.93
34.37,101.30
34.44,95.54
34.77,106.24
33.45,95.95
36.77,100.06
40.96,102.04
25.44,98.11
32.22,104.22
36.65,101.58
40.58,105.78
32.54,96.90
39.57,99.18
32.00,99.13
33.16,102.00
33.43,96.05
38.55,100.22
32.85,101.79
33.10,101.65
33.34,100.98
40.08,93.54
37.93,100.20
34.33,102.51
36.70,100.95
34.37,100.83
30.45,101.57
38.54,99.56
37.87,97.15
36.96,101.45
32.94,97.12
35.16,94.96
34.03,101.38
42.54,104.73
34.89,98.36
30.82,102.69
36.76,100.37
32.56,98.29
33.74,102.84
36.62,103.84
34.56,96.43
37.16,94.28
37.56,102.74
41.21,99.22
33.48,96.49
39.01,105.26
37.18,96.27
30.11,98.16
32.35,96.08
30.84,102.31
30.45,98.63
31.03,95.21
41.27,100.05
30.32,101.88
38.65,98.62
36.57,96.95
32.99,101.22
32.03,102.71
39.39,98.88
33.01,101.69
42.03,98.94
36.73,96.43
43.41,96.35
35.42,100.20
34.73,108.19
35.27,99.59
38.28,98.23
36.59,100.62
31.00,91.88
29.06,100.89
33.26,101.60
36.59,102.20
33.62,101.39
34.81,100.02
35.24,102.48
35.97,98.57
29.99,105.76
34.76,99.99
37.32,104.34
36.43,98.63
40.48,98.72
39.39,96.12
41.15,97.59
37.55,99.46
33.43,102.31
33.38,99.18
34.13,96.15
32.20,99.46
35.17,98.58
36.59,99.55
39.40,101.27
30.68,99.54
31.91,102.14
39.91,100.09
37.89,95.35
35.86,100.26
33.42,98.54
37.79,98.71
34.54,100.18
31.25,104.22
38.20,104.53
36.47,99.78
32.80,104.43
38.01,101.14
39.52,96.95
32.64,100.30
29.61,100.53
32.99,100.51
39.37,102.70
29.26,99.58
40.61,97.07
33.79,99.19
33.84,103.90
34.02,97.25
39.34,101.20
36.06,102.32
32.70,99.22
41.20,102.79
40.23,100.96
30.42,96.63
33.38,100.60
32.77,101.79
37.24,101.36
28.39,95.31
36.69,99.81
36.84,99.35
33.08,101.59
35.24,102.05
38.48,102.73
31.45,99.40
34.02,94.39
39.34,98.38
33.06,98.99
36.51,104.29
37.76,97.99
35.40,103.37
32.89,105.58
34.10,104.79
39.58,99.77
38.24,96.30
35.69,99.84
34.25,102.45
32.80,100.07
29.62,98.89
35.24,94.51
35.21,99.01
35.33,100.39
32.32,95.33
29.77,96.73
31.34,98.79
37.92,102.45
27.79,101.29
30.21,93.69
37.39,100.29
33.34,99.23
31.75,103.05
31.35,104.22
33.78,99.57
34.22,99.74
37.47,96.47
35.44,93.37
36.47,96.99
32.75,95.88
32.35,99.47
32.58,99.19
40.02,99.54
30.60,98.18
37.93,97.88
37.02,98.45
30.77,100.30
32.55,98.98
36.14,102.41
35.88,95.83
32.79,93.96
37.61,102.03
30.65,99.44
31.80,99.32
31.40,102.67
34.25,104.48
30.64,103.46
35.00,97.23
34.66,100.98
34.89,100.17
34.45,102.98
35.62,102.73
34.93,99.65
38.30,101.40
36.74,97.95
34.46,101.28
37.33,104.44
32.45,97.77
37.61,102.80
39.88,105.69
37.13,95.48
35.28,101.30
34.26,102.27
38.25,96.32
36.20,97.23
31.03,103.49
32.23,99.68
35.33,103.50
34.46,104.93
36.85,92.20
35.63,95.59
36.31,103.53
33.72,102.02
39.81,101.15
33.28,103.75
29.09,96.46
31.00,98.67
36.64,98.07
33.85,100.08
32.29,99.77
34.02,101.46
40.31,96.42
37.12,106.60
36.79,101.35
32.58,99.46
35.19,101.44
34.99,106.08
37.99,98.50
35.29,99.44
33.05,99.61
32.74,99.35
35.88,99.38
31.44,97.37
36.84,102.96
35.54,101.59
33.79,100.15
36.09,103.82
41.37,100.18
33.24,95.84
32.79,96.61
36.38,99.13
36.58,98.44
38.30,98.80
35.47,100.46
35.46,97.85
36.29,93.77
36.57,100.79
33.40,99.64
36.36,104.35
35.68,97.14
23.93,101.60
33.10,101.25
33.29,99.64
34.44,108.35
36.22,103.47
36.82,105.88
32.20,98.75
32.38,96.77
36.25,104.45
35.17,101.85
36.98,98.39
37.11,103.32
37.14,102.86
31.14,100.20
35.15,99.69
37.46,104.01
33.55,102.06
31.60,97.32
32.88,100.04
25.58,102.75
37.17,105.55
35.91,103.10
29.55,95.27
33.41,107.38
37.51,100.60
37.21,100.00
32.68,98.43
32.98,101.31
42.24,100.54
34.23,99.67
32.75,103.69
36.46,94.94
38.05,101.54
36.36,100.00
35.28,95.82
32.24,102.99
29.82,101.41
35.93,100.94
36.12,101.29
31.90,99.60
37.29,100.74
30.51,105.50
35.40,98.21
43.03,101.86
44.85,95.47
39.30,95.41
36.31,99.06
30.37,99.19
36.92,95.11
35.77,96.35
35.73,103.27
36.92,98.41
38.34,98.52
39.57,96.78
40.09,102.87
35.81,106.77
34.03,103.80
32.26,97.80
29.06,97.75
37.32,99.51
37.44,95.46
36.49,97.82
35.38,98.14
31.97,100.08
37.98,100.87
39.10,103.01
35.34,103.87
34.04,97.10
34.62,100.17
31.68,104.45
34.91,98.46
35.90,99.84
37.21,100.54
32.53,96.10
38.99,97.78
33.90,105.29
38.14,102.07
34.98,103.19
32.24,93.58
32.13,100.75
32.69,101.28
39.00,105.39
36.09,101.02
36.73,106.44
33.93,103.57
33.61,98.68
33.35,95.37
33.67,98.92
33.34,97.90
38.04,96.60
35.30,98.28
34.81,100.30
38.52,96.97
37.53,102.97
36.59,102.65
35.06,105.10
34.51,99.21
34.34,97.45
33.80,101.51
35.85,103.21
28.40,102.37
34.09,97.30
36.73,98.40
31.62,100.47
31.80,101.03
40.32,98.40
28.51,106.52
38.16,100.99
35.77,98.50
33.68,103.17
34.87,95.92
35.70,94.59
36.72,103.41
37.57,100.73
34.81,95.68
34.52,96.14
35.58,97.46
30.85,96.80
31.27,105.59
34.71,97.41
35.89,102.71
36.23,95.75
34.09,97.25
38.85,98.85
30.33,101.96
33.88,98.13
34.31,103.49
33.28,102.38
32.10,103.62
36.64,97.62
37.44,103.80
35.60,94.48
33.55,102.39
35.32,95.80
35.35,101.00
35.43,96.21
32.29,102.32
33.91,98.16
39.82,99.40
31.19,97.42
34.90,101.94
32.45,103.38
36.25,100.41
